ksi_id,name,short_name
5972,Afturelding,
6130,Augnablik,
6351,Árbær,
5387,Breiðablik,
7125,Dalvík/Reynir,
5224,Elliði,
5733,Fimleikafélag Hafnarfjarðar,FH
5385,Fjölnir,
5366,Fram,
5386,Fylkir,
5963,Grindavík,
6031,Grótta,
5976,Haukar,
5732,Handknattleiksfélag Kópavogs,HK
6123,Hvíti riddarinn,
6281,Höttur/Huginn,
5735,Íþróttabandalag Akraness,ÍA
5388,Íþróttabandalag Vestmannaeyja,ÍBV
5383,Íþróttafélag Hafnarfjarðar,ÍH
5699,Íþróttafélag Reykjavíkur,ÍR
5731,Knattspyrnufélag Akureyrar,KA
5987,Kári,
5964,Keflavík,
5216,Knattspyrnufélag Fjallabyggðar,KF
6330,Knattspyrnufélag Austfjarða,KFA
6189,Knattspyrnufélag Garðabæjar,KFG
6353,Knattspyrnufélag Kópavogs,KFK
5980,Knattspyrnufélagið Framherjar-Smástund,KFS
5227,Kormákur/Hvöt,
5698,Knattspyrnufélag Reykjavíkur,KR
6131,Knattspyrnufélag Vesturbæjar,KV
5365,Leiknir Reykjavík,Leiknir R.
5221,Magni,
5981,Njarðvík,
5989,Reynir Sandgerði,Reynir S.
5971,Selfoss,
5973,Sindri,
5730,Stjarnan,
5218,Tindastóll,
5363,Valur,
5734,Vestri,
5970,Víðir,
6049,Víkingur Ó.,
5364,Víkingur R.,
5737,Vængir Júpiters,
5217,Völsungur,
6124,Ýmir,
5965,Þór,
5389,Þróttur Reykjavík,Þróttur R.
5172,Þróttur Vogum,Þróttur V.
5219,Ægir,
